abacus|n.算盘
assign|vt.分配,指派v.赋值[计]将驱动器符重定向至第二个驱动器符
assignment|n.分配,委派,任务,(课外)作业
assimilate|v.吸收
assist|v.援助,帮助
assistance|n.协助,援助,补助,<英>国家补助
assistant|n.助手,助教adj.辅助的,助理的
associate|vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的
association|n.协会,联合,结交,联想
assorted|adj.多样混合的v.分类配全
assortment|n.分类
assume|vt.假定,设想,采取,呈现
assumption|n.假定,设想,担任,承当,假装,作态
assurance|n.确信,断言,保证,担保
assure|vt.断然地说,确告,保证,担保
assuredly|adv.确实地,确信地
asterisk|n.星号
asthma|n.[医]哮喘
astonish|vt.使惊讶
astonishment|n.惊讶
astound|vt.使惊骇,使大吃一惊
astral|adj.星形的
astray|adv.迷途地,入歧途地
astrology|n.占星术,占星学(以观测天象来预卜人间事务的一种方术)
astronaut|n.太空人,宇航员
astronomer|n.天文学家
astronomical|adj.天文学的,庞大无法估计的n.天文
astronomy|n.天文学
astrophysics|n.天体物理学
asylum|n.庇护,收容所,救济院,精神病院
asymmetric|adj.不均匀的,不对称的
athlete|n.运动员,运动选手
athletic|adj.运动的
athletics|n.运动
Atlantic|n.大西洋adj.大西洋的
atlas|n.地图,地图集
atmosphere|n.大气,空气,气氛
atmospheric|adj.大气的
atom|n.原子
atomic|adj.原子的,原子能的,微粒子的
atrocious|adj.残暴的,凶恶的
atrocity|n.残暴,暴行,凶恶
attach|vt.缚上,系上,贴上v.配属,隶属于
attache|n.<法>大使随员,大使馆专员
attachment|n.附件,附加装置,配属
attack|n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击
attain|vt.达到,获得v.达到
attempt|n.努力,尝试,企图vt.尝试,企图
attend|vt.出席,参加,照顾,护理,注意vi.专心,留意
attendance|n.出席,出席的人数,伺候,照料
attendant|n.服务员
attention|n.注意,关心,关注,注意力,(口令)立正!
attentive|adj.注意的,专心的,留意的
attest|v.证明
attic|n.阁楼,顶楼,[解剖](耳的)鼓室上的隐窝
attitude|n.姿势,态度,看法,意见
attorney|n.<美>律师,(业务或法律事务上的)代理人
attract|vt.吸引vi.有吸引力,引起注意
attraction|n.吸引,吸引力,吸引人的事物
attractive|adj.吸引人的,有魅力的
attrition|n.磨擦,磨损
auction|n.拍卖vt.拍卖
auctioneer|n.拍卖人vt.拍卖
audacious|adj.大胆的,卤莽的,大胆创新的
audible|adj.听得见的
audience|n.听众,观众,接见,拜见
audio|adj.音频的,声频的,声音的
audiovisuals|n.视听教具
audit|n.审计,稽核,查帐vt.稽核,旁听vi.查账
audition|n.听,听力,试听
auditor|n.计员,核数师
auditorium|n.听众席,观众席,<美>会堂,礼堂
augment|v.增加,增大n.增加
August|n.八月
august|adj.令人敬畏的,威严的n.八月(略作Aug)
aunt|n.姑妈,伯母,舅妈,阿姨
aura|n.气氛,气味,(圣象头部的)光环[医]先兆,预感
aural|adj.听觉的
auspicious|n.吉兆的,幸运的
austere|adj.严峻的,严厉的,操行上一丝不苟的,简朴的
austerity|n.严峻,严厉,朴素,节俭,苦行
Australian|adj.澳洲的,澳大利亚的,澳大利亚人的n.[地名]澳大利亚
authentic|adj.可信的
author|n.作家,创造者
authorise|vt.<英>=authorize
authoritarian|adj.独裁的,独裁主义的
authoritative|adj.权威的,有权威的,命令的
authority|n.权威,威信,权威人士,权力,职权,典据,著作权威
authorize|v.批准
autobiographical|adj.自传的,自传体的,自传作家的
autobiography|n.自传
autocrat|n.独裁者
autocratic|adj.独裁的,专制的
autograph|n.亲笔签名,手稿adj.署名v.署名
automate|v.使自动化,自动操作
automatic|n.自动机械adj.自动的,无意识的,机械的
automation|n.自动控制,自动操作
automobile|n.<主美>汽车(=<英>motorcar,car)
autonomous|adj.自治的
autonomy|n.自治
autopsy|n.(为查明死因而做的)尸体解剖,验尸
autumn|n.秋天,成熟期,渐衰期
auxiliary|adj.辅助的,补助的
availability|n.可用性,有效性,实用性
available|adj.可用到的,可利用的,有用的,有空的,接受探访的
avalanche|n.雪崩v.雪崩
avenge|vt.为...报复,报仇
avenue|n.林荫道,大街,方法,途径,路
average|n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出
aversion|n.厌恶,讨厌的事和人
avert|v.转移
aviation|n.飞行,航空,航空学,航空术
avid|adj.渴望的
avoid|vt.避免,消除
await|vt.等候
awake|vi.醒,觉醒,领会,觉悟vt.唤醒adj.警觉的,醒的
awaken|v.唤醒,醒来,唤起
award|n.奖,奖品vt.授予,判给
aware|adj.知道的,明白的,意识到的
away|adv.在远处,到远处,离去
awe|n.敬畏vt.敬畏
awesome|adj.引起敬畏的,可怕的
awful|adj.可怕的,威严的,<口>极度的,糟糕的
awfully|adv.非常,很,十分
awkward|adj.难使用的,笨拙的
awkwardly|adv.笨拙地,无技巧地
ax|n.斧头vt.削减
axe|n.斧,(经费的)大削减
axiom|n.[数]公理
axis|n.轴
axle|n.轮轴,车轴
babble|v.呀呀学语,喋喋不休,作潺潺声,泄露(秘密)n.儿语,胡言乱语,潺潺声
baby|n.婴孩
bachelor|n.单身汉,文理学士,幼雄兽
back|adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持
backbiting|n.诽谤,中伤
backbone|n.脊椎,中枢,骨干,支柱,意志力,勇气,毅力,决心
backbreaking|adj.非常辛劳的
backdate|vt.回溯
backdrop|n.背景幕,(事件的)背景
backfire|n.逆火
background|n.背景,后台,不重要或不引人注目的地方或位置
backhand|n.adv.反手击球(的),左斜体(的)
backside|n.背后,背部,后方
backup|n.后援,支持,阻塞vt.做备份adj.候补的,支持性的[计]文件备份
backward|adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏
backwards|adv.向后
backwater|n.死水,停滞不进的状态或地方
backyard|n.后院,后庭,<美>(住宅的)场院
bacon|n.咸肉,熏肉
bacteria|n.细菌
bad|adj.劣质的,有害的,坏的,不利的,不健康的,严重的
badge|n.徽章,证章
badly|adv.严重地,恶劣地
badminton|n.羽毛球
badtempered|adj.脾气暴躁的,易怒的
baffle|vt.困惑,阻碍,为难
bag|n.袋子,猎获物
baggage|n.行李,[军]辎重
baggy|adj.袋状的,松垂的
bail|n.保释,保证金,保证人v.保释,舀水
bait|n.饵,诱惑物vt.以饵引诱(动物),把饵装上,欺负,折磨vi.中途休息
bake|v.烘焙,烤,烧硬
baker|n.面包师,面包工人,<美>(便携式)烘炉
bakery|n.面包店
balance|n.秤,天平,平衡,[商]收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表
balcony|n.阳台,包厢,(戏院)楼厅
bald|adj.光秃的,单调的,枯燥的
bale|n.大包,大捆,(指标准量货物,如稻草,麦杆)货物vt.打包,捆包,包装,灾难,痛苦,悲哀
baleful|adj.有害的,恶意的
balk|n.障碍,梁木v.妨碍,(马)不肯前进
ball|n.球,球状物,子弹,舞会,尽情地玩
ballad|n.民歌,歌谣,叙事歌,流行歌曲,情歌
ballast|n.压舱物,沙囊
ballerina|n.芭蕾舞女
ballet|n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲
ballistics|n.弹道学,发射学
balloon|n.气球
ballot|n.选举票,投票,票数vi.投票
balm|n.(止痛或疗伤的)香油,香膏,安慰物
balmy|adj.芳香的,温和的,止痛的,(空气)温和的
balustrade|n.栏杆
bamboo|n.竹子
ban|n.禁令vt.禁止,取缔(书刊等)
banal|adj.平凡的,陈腐的,老一套的
banana|n.香蕉
band|n.带子,镶边,波段,队,乐队v.联合,结合
bandage|n.绷带
bandit|n.强盗
bandwagon|n.乐队花车,流行
bane|n.毒药,祸害
bang|n.重击,突然巨响v.发巨响,重击
banish|vt.流放,驱逐,消除
banister|n.栏杆的支柱,楼梯的扶栏
banjo|n.班卓琴,五弦琴
bank|n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯
banker|n.银行家
banking|n.银行业
bankrupt|n.破产者adj.破产了的,完全丧失vt.使破产
bankruptcy|n.破产
banner|n.旗帜,横幅,标语
banquet|n.宴会
banter|n.善意地取笑,逗弄v.善意的与人开玩笑
baptism|n.浸洗,[喻]洗礼,严峻考验
baptize|vt.给人施洗礼(作为入基督教的标志),洗炼,命名(作为洗礼仪式的一部分)
bar|n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业
barbarian|n.粗鲁无礼的人,野蛮人adj.野蛮的,粗鲁的
barbaric|adj.野蛮的,粗野的,毫无约束的,肆无忌惮的
barbarous|adj.野蛮的,残暴的,粗野的,(声音)刺耳的,沙哑的
barbecue|n.吃烤烧肉的野餐
barber|n.理发员,理发师vt.为...理发,刮脸等
bare|adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出
barely|adv.仅仅,刚刚,几乎不能
bargain|n.契约,合同,成交商品,便宜货v.议价
barge|n.驳船,游艇vt.用船运输vi.蹒跚,闯入
baritone|n.男中音
barley|n.大麦
barn|n.[农]谷仓,畜棚,畜舍,机器房
barometer|n.气压计
baron|n.男爵(英国世袭的最低级的贵族爵位)
baroque|n.巴洛克时期艺术和建筑风格的,巴洛克式adj.巴洛克式的,结构复杂的,形式怪样的
barracks|n.兵营,许多人居住的简陋房舍
barrage|n.拦河坝,堰,阻塞,(敌军前进的)弹幕射击
barrel|n.桶vt.装入桶内
barren|adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地
barricade|v.设路障n.路障
barrier|n.(阻碍通道的)障碍物,栅栏,屏障
barrister|n.(在英国有资格出席高等法庭并辩护的)律师,法律顾问
barrow|n.手推车
barter|n.物品交换,实物交易v.物品交换,交换
base|n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于...adj.卑鄙的,低级的
baseball|n.棒球,棒球运动
basement|n.地下室,墙脚
bash|v.怒殴,打坏,<美俚>盛会,狂欢n.怒殴,猛击
bashful|adj.害羞的
basic|n.基本,要素,基础adj.基本的,碱性的n.[计]BASIC语言,基本高级语言
basically|adv.基本上,主要地
basin|n.盆,盆地,水池
basis|n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理
bask|vi.晒太阳(享受温暖),感到温暖,愉快或舒适
basket|n.篮,一篮
basketball|n.篮球,篮球运动
bass|n.低音部,男低音,低音乐器adj.低音的
bastard|n.私生子
bastion|n.(可扩大射击范围的)棱堡,堡垒,阵地工事
bat|n.蝙蝠,球棒v.用球棒击球[计]批处理文件的扩展名abbr.[军]BasicArmorTraining,装甲兵基础训练
batch|n.(面包等)一炉,一批
bath|n.沐浴,浴室
bathe|v.沐浴,洗,(光线)充满n.洗澡
bathroom|n.浴室,盥洗室
baton|n.司令棒,指挥棒,警棍
battalion|n.军营,军队
batter|n.击球手v.打坏,猛击
battery|n.电池,殴打
battle|n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争
battlefield|n.战场,沙场
bawl|n.叫骂声v.大叫
bay|n.海湾,狗吠声,绝路vt.吠,使走投无路vi.吠
bayonet|n.刺刀
bazaar|n.集市,市场,杂货店,百货店
be|prep.是,在,存在[域]Belgium,比利时abbr.[军]BaseEjection,弹底喷射
beach|n.海滩
beacon|n.烟火,灯塔v.照亮
bead|n.珠子,水珠
beak|n.鸟嘴,喙
beaker|n.大口杯,有倾口的烧杯
beam|n.梁,桁条,(光线的)束,柱,电波,横梁v.播送
bean|n.豆,豆形果实
beard|n.胡须
bearing|n.轴承,关系,方面,意义,方向,方位
beast|n.兽,畜牲,人面兽心的人
beastly|adj.如野兽的,残忍的,令人不快的
beat|n.敲打,拍子,巡逻区域v.打,打败
beating|v.挫败n.打,敲打
beautiful|adj.美丽的,很好的
beautify|v.美化
beauty|n.美,美景,美好的东西
because|conj.adv.因为
beckon|v.招手,召唤
become|vi.变成,成为,变得vt.适合,相称
bed|n.床,基础,路基,河底,海底,一堆,一层vt.安置,嵌入,使睡,栽种vi.上床,分层
bedding|n.被褥,(家畜)草垫,(建筑)基床
bedroom|n.卧室
bedtime|n.就寝时间
bee|n.蜜蜂
beef|n.牛肉
beeper|n.能发出哔哔声音的仪器
beer|n.啤酒
beet|n.甜菜,甜菜根vt.生火,修理,改过
beetle|n.甲虫vi.悬垂,突出
befall|v.降临,遭遇,加于
befit|vt.适合
before|adv.在前,以前prep.在...之前conj.在...之前,与其...宁可
beforehand|adv.预先
beg|v.请求,乞求
beggar|n.乞丐
begin|v.开始,首先
beginner|n.初学者
beginning|n.开始
begrudge|vt.嫉妒,羡慕,舍不得给
beguile|vt.诱骗,诱惑
behalf|n.为,利益
behave|vi.举动,举止,运转v.行为表现
behavior|n.举止,行为
behaviour|n.行为,举止,习性
behead|vt.斩首,砍头,[地质](指海盗河piralestream)使其他河川的水流入自己河中
behind|adv.在后地prep.在...之后
beige|adj.浅褐色的n.米色
being|n.存在,生命,人,本质art.在,有,是
belie|v.掩饰
belief|n.信任,信心,信仰
believe|v.有坚定的宗教信仰的,相信,信任,认为,想
bell|n.铃,钟
bellow|v.(牛,象等)吼叫,怒吼,咆哮
belly|n.腹部,胃vi.涨满
belong|vi.属于,住
belongings|n.财产,所有物,相关事物,亲戚
beloved|adj.心爱的n.所爱的人,爱人
below|prep.在...下面,adv.在下,在页底
belt|n.带子,地带
bemoan|vt.哀叹
bemused|adj.困惑的,发呆的
bench|n.长椅子
benchmark|[计]基准
bend|v.弯曲,专心于,屈服n.弯曲
beneath|adv.在...之下prep.在...之下
benediction|n.祝福
beneficial|adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的
beneficiary|n.受惠者,受益人
benefit|n.利益,好处vt.有益于,有助于vi.受益
benevolence|n.仁爱心,善行
benevolent|adj.慈善的
benign|adj.(病)良性的,(气候)良好的,仁慈的,和蔼的
bequeath|vt.遗赠,遗留,把...传下去
bequest|n.遗产,遗赠
bereaved|adj.丧失的
berry|n.浆果
berth|n.停泊处,卧铺(口语)职业v.使停泊
beset|v.困扰
beside|prep.在旁边,和...比较
besides|adv.此外prep.除...之外
besiege|vt.围困,围攻,包围
best|adj.最好的adv.最好地,最,极n.最佳状态或作品,最好的东西
bestow|vt.给予,安放
bet|n.赌,打赌v.赌,赌钱
betray|vt.出卖,背叛,泄露(秘密),露出...迹象
better|adj.较好的adv.更好的,更多的,更佳的
between|prep.在...之间,连接...,由...协力合作
beverage|n.饮料
beware|v.小心,谨防
bewilder|vt.使迷惑,使不知所措,使昏乱
bewitch|vt.施魔法于,蛊惑,迷人
beyond|prep.在(到)...较远的一边,超过,那一边adv.在远处n.远处
bias|n.偏见,偏爱,斜线vt.使存偏见
Bible|n.《圣经》
bibliography|n.(有关一个题目或一个人的)书目,参考书目
bicker|vi.斗嘴,流动,闪动n.口角,流水声
bicycle|n.脚踏车,自行车
bid|vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付
big|adj.大的,重要的,量大的,重要的adv.夸大地,顺利
bigot|n.盲目信仰者,顽固者
bike|n.脚踏车,自行车
bikini|n.(三角裤与胸罩分开的)比基尼泳装
bilateral|adj.有两面的,双边的
bile|n.胆汁,愤怒
bilingual|adj.能说两种语言的
bill|n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单
billiards|n.台球,桌球,弹子戏
billion|n.adj.十亿(的)
billow|n.巨浪,波浪般滚滚向前的东西v.翻腾
bin|n.箱柜[计]二进制文件的扩展名
binary|adj.二进位的,二元的
bind|v.绑,镶边,装订,凝固,约束
binder|n.装订工,包扎者,包扎工具,[法律]临时契约
binding|n.装订,捆绑,捆绑物,粘合物
binge|n.狂闹,狂欢
bingo|n.一种赌博游戏,烈酒
binoculars|n.双眼望远镜
biochemistry|n.生物化学
biographical|adj.传记的
biography|n.传记
biological|adj.生物学的
biologist|n.生物学家
biology|n.生物学,生物(总称)
biotechnology|n.生物工艺学
bipartisan|adj.两党连立的
birch|n.桦树,白桦
bird|n.鸟,<俚>人vi.在野外观察或鉴别鸟类
birth|n.出生,产生,出身
birthday|n.生日
birthplace|n.诞生地
birthrate|n.出生率
biscuit|n.饼干,小点心
bisect|v.切成两分,对(截)开
bishop|n.主教
bit|n.小块,少量,片刻,马嚼子,辅币vt.上马嚼子,控制vbl.咬n.[计]位,比特
bite|n.咬,咬伤,一口,刺痛v.咬,刺痛abbr.[军]Built-InTestEquipment,机内测试设备
bitter|adj.苦的,痛苦的,怀恨的
bitterly|adv.苦苦地,悲痛的,厉害的
bizarre|adj.奇异的(指态度,容貌,款式等)
black|n.黑色,黑颜料,黑人adj.黑色的,弄脏了的,忧郁的vt.(使)变黑,涂黑
blackboard|n.黑板
blacken|v.使变黑,诽谤变黑
blackmail|n.勒索,勒索所得之款vt.勒索
blackout|n.灯火管制,(暂时的)眩晕,中断
blacksmith|n.锻工,铁匠
bladder|n.膀胱,气泡,球胆
blade|n.刀刃,刀片
blame|n.过失,责备vt.责备,谴责
blanch|v.漂白,使变白,遮断阳光发白
bland|adj.温和的,柔和的,乏味的,冷漠的,刺激性少的
blank|adj.空白的,空着的,失色的,没有表情的n.空白,<美>表格
blanket|n.毯子vt.覆盖
blare|n.号声v.奏鸣
blast|n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害
blatant|adj.喧嚣的,俗丽的,吵闹的,炫耀的
blaze|n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布
bleach|v.漂白,变白
bleak|adj.寒冷的,阴冷的,荒凉的,凄凉的,黯淡的
bleat|n.叫声v.低声诉说
bleed|v.使出血,放血
bleep|n.哔哔声vi.发出哔哔声
blemish|n.污点,缺点,瑕疵vt.弄脏,玷污,损害
